Startup Name,Industry,Total Funding (M$),Number of Investors,Investor Reputation,Growth Rate (%),Revenue (M$),Market Size,Years Since Founded,Success Score
InnoHealthVentures,Cybersecurity,58.1,8,7.03,1.55,0.34,Medium,4,16.86
HyperEdgeInc,GreenTech,434.19,13,3.88,65.58,65.03,Small,20,94.13
SmartEdgeAI,AI,194.63,12,4.77,2.12,68.68,Small,2,43.17
SmartLabInnovations,Healthcare,150.54,3,5.96,68.64,73.7,Large,1,69.52
InnoAIInnovations,GreenTech,156.51,13,5.32,17.06,95.38,Large,7,5.7
TechGrowthSystems,Autonomous Vehicles,177.35,13,4.39,30.89,8.63,Medium,4,69.82
InnoLabInc,Autonomous Vehicles,378.47,2,5.64,21.34,1.28,Large,17,72.28
NextConnectAnalytics,AgriTech,408.98,8,2.97,0.45,76.97,Medium,7,96.88
NextHealthInc,EdTech,456.75,5,4.98,71.09,40.24,Large,9,84.01
QuantumLabNetwork,EdTech,427.92,3,5.24,17.05,52.53,Small,14,42.58
HyperDataInnovations,Cybersecurity,52.0,3,8.56,77.3,68.04,Small,9,40.73
FinDataAnalytics,AI,383.01,6,1.4,75.52,31.93,Small,2,4.46
InnoEdgeInnovations,EdTech,136.51,5,5.81,20.29,91.39,Large,11,49.84
TechEdgeTech,Autonomous Vehicles,363.61,4,1.92,33.46,90.17,Small,3,22.53
InnoSphereTech,Autonomous Vehicles,138.64,6,6.85,35.77,79.53,Large,6,14.54
NextCloudTech,Cybersecurity,467.02,9,2.85,40.59,12.02,Large,17,24.05
SmartAIInc,EdTech,174.61,3,6.74,52.97,73.66,Large,18,9.31
NeuroDataInc,GreenTech,161.7,7,9.71,15.87,1.76,Medium,14,13.76
NextAISystems,Autonomous Vehicles,44.95,5,9.52,61.6,59.46,Small,10,8.8
SmartSphereInnovations,Autonomous Vehicles,392.13,14,2.58,13.29,47.59,Medium,10,10.05
InnoHealthAnalytics,Healthcare,127.93,5,7.32,61.26,59.02,Large,6,58.37
InnoSphereInc,Quantum Computing,445.67,5,7.7,67.7,20.79,Small,11,73.31
TechFinanceAI,EdTech,81.56,1,2.35,55.59,19.18,Large,8,53.73
NextHealthInnovations,Autonomous Vehicles,125.72,11,3.05,27.16,43.34,Large,9,54.73
NeuroGrowthTech,AgriTech,441.03,14,8.9,21.09,8.25,Medium,14,13.21
NeuroCloudAI,FinTech,332.52,4,5.16,52.57,6.51,Small,3,8.37
AgriEdgeNetwork,AI,433.81,2,1.66,18.36,51.11,Small,13,56.34
HyperDataHub,GreenTech,253.72,12,8.81,63.03,69.42,Medium,7,97.88
FinLabVentures,EdTech,163.73,10,3.06,12.67,14.73,Small,15,49.08
SmartDataVentures,EdTech,330.77,5,7.1,42.82,97.85,Medium,12,52.68
AgriLabSolutions,Quantum Computing,233.24,9,7.36,78.8,18.09,Medium,16,4.58
NextDataAI,GreenTech,277.18,3,3.4,42.22,33.26,Small,18,95.23
HyperHealthVentures,AgriTech,153.65,13,5.25,7.63,22.64,Small,9,34.29
AgriSphereInnovations,Autonomous Vehicles,204.63,15,2.71,32.79,5.64,Medium,11,54.11
QuantumLabNetwork,Quantum Computing,31.13,5,3.66,24.68,21.77,Medium,15,84.01
QuantumHealthSolutions,EdTech,11.63,8,8.13,75.29,9.87,Medium,20,73.29
SmartFinanceHub,Healthcare,64.98,10,6.71,35.02,82.77,Small,5,36.4
QuantumAIVentures,Healthcare,166.6,2,4.89,61.04,17.79,Large,2,25.15
TechDataInnovations,GreenTech,161.69,8,9.87,43.99,26.7,Large,16,81.88
FinDataHub,FinTech,362.34,14,1.99,22.92,72.8,Small,19,5.47
GreenSphereAnalytics,Cybersecurity,383.87,14,3.58,59.84,59.31,Small,19,87.76
InnoLabVentures,Quantum Computing,297.58,5,4.45,12.65,74.19,Large,1,45.69
QuantumAIAnalytics,AgriTech,103.62,14,4.56,35.23,10.91,Small,13,2.19
TechCloudSolutions,EdTech,70.59,9,9.98,63.66,94.41,Medium,11,28.92
InnoGrowthInnovations,AI,471.93,11,2.55,12.97,93.62,Small,17,45.07
AgriConnectInc,Cybersecurity,351.7,14,9.61,19.16,36.49,Small,6,26.98
SmartCloudNetwork,Cybersecurity,203.73,3,1.47,36.09,88.75,Small,18,98.74
NeuroFinanceNetwork,GreenTech,78.86,12,7.09,20.14,60.23,Medium,10,20.29
QuantumCloudVentures,Cybersecurity,204.4,14,8.82,32.32,3.41,Medium,11,72.32
AgriDataVentures,Autonomous Vehicles,462.25,8,3.96,62.71,18.82,Medium,20,57.89
NextAISystems,GreenTech,384.55,10,9.22,11.34,26.04,Medium,16,90.56
FinEdgeInc,Autonomous Vehicles,68.16,14,8.59,16.27,52.57,Small,19,8.25
FinEdgeAI,GreenTech,147.88,7,5.32,42.13,2.02,Medium,8,7.05
TechHealthNetwork,Healthcare,146.25,5,6.88,47.95,94.01,Large,20,95.39
HyperConnectInc,FinTech,126.28,2,6.11,29.34,99.35,Large,1,1.89
QuantumFinanceVentures,FinTech,98.72,4,7.24,59.46,65.81,Medium,4,42.76
InnoLabSystems,FinTech,68.37,13,4.86,68.32,78.42,Small,9,22.83
FinSphereTech,Quantum Computing,137.94,3,2.33,33.77,84.36,Large,4,43.36
TechGrowthHub,GreenTech,160.54,1,9.62,69.27,20.75,Large,12,59.89
NextConnectAnalytics,Cybersecurity,245.36,13,8.97,22.14,66.55,Small,14,68.9
FinCloudInc,EdTech,72.81,3,7.67,20.38,39.19,Small,1,2.99
NeuroCloudSystems,Quantum Computing,227.23,6,3.89,19.65,19.38,Medium,4,65.07
HyperDataInnovations,Healthcare,145.23,13,5.28,66.61,76.97,Small,17,40.93
NextEdgeSolutions,AI,348.09,10,1.6,48.28,79.49,Small,17,44.41
InnoCloudSystems,AgriTech,397.58,1,2.23,16.52,89.14,Small,9,69.73
HyperFinanceVentures,Quantum Computing,430.76,3,6.06,36.23,26.8,Large,4,73.33
HyperFinanceAnalytics,GreenTech,288.59,1,6.27,79.49,88.95,Small,5,16.22
NextGrowthVentures,Quantum Computing,377.41,9,8.05,38.04,11.87,Medium,4,67.42
NeuroConnectSolutions,Cybersecurity,15.99,8,7.52,37.12,43.15,Medium,5,1.86
FinFinanceNetwork,Autonomous Vehicles,270.15,5,1.05,11.66,66.56,Large,13,12.78
AgriFinanceInnovations,Healthcare,390.31,8,3.31,61.67,20.71,Small,2,35.28
FinDataVentures,Healthcare,497.29,15,1.91,1.71,12.59,Medium,2,98.47
NextConnectAnalytics,Cybersecurity,10.84,6,2.37,29.65,92.67,Small,14,59.53
AgriDataNetwork,Quantum Computing,246.66,13,8.76,3.91,9.81,Large,1,73.29
GreenSphereNetwork,Cybersecurity,108.36,15,5.83,78.31,37.52,Medium,17,87.31
GreenCloudAI,Quantum Computing,5.05,10,1.92,13.24,53.08,Small,11,92.86
GreenEdgeInc,FinTech,410.5,15,2.79,29.64,20.84,Small,16,48.09
FinConnectAnalytics,AgriTech,58.25,14,2.26,58.47,41.24,Small,2,0.19
NeuroFinanceVentures,FinTech,396.55,6,1.52,58.08,22.01,Medium,9,78.74
AgriLabHub,EdTech,406.89,13,5.17,56.94,17.2,Large,19,59.4
TechGrowthAI,Autonomous Vehicles,417.64,1,8.65,12.97,61.33,Small,9,83.78
InnoHealthNetwork,GreenTech,272.04,5,4.59,41.63,84.77,Medium,13,18.42
QuantumEdgeHub,EdTech,100.08,11,4.72,13.19,12.58,Small,3,0.25
SmartSphereAnalytics,Autonomous Vehicles,88.09,11,2.9,78.61,78.68,Medium,9,71.12
HyperGrowthInc,GreenTech,4.76,9,7.38,55.82,13.78,Large,10,22.62
InnoAISystems,AI,226.94,11,1.94,14.49,59.62,Medium,10,15.67
NeuroGrowthNetwork,Healthcare,168.09,7,2.89,40.61,54.05,Medium,20,7.92
GreenLabNetwork,Autonomous Vehicles,432.23,12,7.03,70.74,74.18,Small,20,66.3
NeuroConnectAI,AI,41.24,11,7.1,17.88,47.92,Large,12,56.89
SmartHealthVentures,Quantum Computing,432.38,13,1.22,20.6,85.65,Large,20,82.89
GreenCloudInnovations,AgriTech,319.51,7,8.64,33.78,71.32,Medium,15,95.84
HyperAISystems,Healthcare,420.61,5,1.16,13.06,93.73,Small,16,27.94
HyperDataHub,GreenTech,76.31,7,8.52,74.38,51.34,Small,6,16.34
QuantumConnectAnalytics,Autonomous Vehicles,312.95,15,8.58,27.74,4.89,Large,15,15.92
QuantumHealthInc,GreenTech,163.09,8,1.98,20.45,86.73,Medium,10,10.74
TechConnectHub,AI,367.79,11,7.39,28.78,61.37,Small,7,67.4
NeuroConnectInnovations,Healthcare,39.14,4,2.0,48.62,33.42,Small,14,67.38
QuantumDataInnovations,Autonomous Vehicles,424.01,8,6.73,61.04,25.83,Medium,11,54.68
TechSphereVentures,Cybersecurity,105.69,13,5.19,52.1,96.23,Medium,3,81.14
GreenEdgeAnalytics,AgriTech,452.29,8,5.38,37.84,37.25,Medium,11,48.29
FinHealthNetwork,Autonomous Vehicles,264.81,12,7.07,9.98,33.31,Large,11,51.92
GreenHealthInnovations,GreenTech,449.08,12,9.8,10.77,32.88,Medium,13,19.28
AgriGrowthNetwork,AI,301.18,5,4.58,2.06,40.85,Large,17,97.13
GreenAIInnovations,EdTech,31.33,12,2.01,12.68,31.76,Large,16,66.98
TechAIInnovations,Healthcare,167.58,1,6.01,56.58,64.93,Medium,10,63.29
FinDataAnalytics,Cybersecurity,331.32,6,6.89,2.45,94.22,Medium,11,80.67
QuantumEdgeHub,Cybersecurity,289.45,4,1.53,33.54,49.97,Large,16,9.11
InnoDataAI,AI,440.77,6,8.47,0.76,25.01,Medium,19,51.12
SmartDataAnalytics,GreenTech,458.91,6,5.52,76.23,68.88,Medium,9,96.75
NeuroAIAnalytics,Quantum Computing,379.6,4,1.32,46.94,87.66,Small,16,45.95
HyperAIHub,EdTech,7.14,10,4.85,13.45,98.96,Large,2,29.08
NeuroFinanceInc,Cybersecurity,98.87,8,5.67,72.05,81.16,Medium,17,64.84
NextHealthSystems,AgriTech,366.19,10,1.18,78.35,76.62,Medium,19,18.96
NextHealthSystems,Cybersecurity,68.06,7,6.62,46.31,41.69,Large,7,30.75
HyperCloudAI,Autonomous Vehicles,255.16,11,9.29,31.89,69.74,Small,5,82.15
InnoFinanceAnalytics,EdTech,0.93,11,6.78,61.6,75.79,Medium,17,33.99
NeuroDataSolutions,Quantum Computing,488.0,9,8.69,44.36,71.4,Large,14,23.07
HyperLabInnovations,AgriTech,125.63,6,8.16,2.48,18.61,Small,4,13.26
SmartAISystems,Quantum Computing,314.87,1,6.68,49.1,89.47,Medium,10,3.15
SmartLabSolutions,Autonomous Vehicles,374.09,5,6.67,19.86,47.34,Medium,1,80.02
FinConnectHub,AI,162.12,13,7.45,9.93,38.31,Large,14,51.58
InnoSphereAI,AI,244.23,1,4.87,26.98,3.94,Small,8,3.47
NeuroHealthVentures,Quantum Computing,298.18,13,3.4,40.4,21.97,Medium,19,83.29
NeuroEdgeInc,EdTech,70.33,8,1.18,48.39,81.55,Medium,11,49.57
NeuroSphereSolutions,Autonomous Vehicles,127.01,11,5.88,39.49,95.41,Large,1,28.97
GreenDataAI,Autonomous Vehicles,477.93,5,3.77,58.49,78.1,Large,10,52.12
NextFinanceSolutions,AI,40.31,6,3.41,45.59,54.63,Large,16,73.19
FinDataInnovations,FinTech,256.36,11,8.75,50.97,77.06,Small,17,72.94
InnoAISolutions,Autonomous Vehicles,491.45,1,1.52,5.74,53.74,Medium,12,2.84
FinSphereVentures,Autonomous Vehicles,48.07,8,4.55,75.57,77.93,Medium,4,13.56
InnoGrowthHub,Quantum Computing,395.22,3,4.19,66.93,73.43,Medium,17,16.11
TechEdgeTech,GreenTech,392.76,6,2.87,77.28,4.81,Medium,6,63.8
QuantumConnectVentures,Cybersecurity,210.49,8,8.53,34.85,14.79,Small,18,52.13
FinFinanceAI,Cybersecurity,38.25,12,6.49,41.0,14.43,Small,19,98.57
HyperGrowthInc,FinTech,437.1,13,7.78,72.5,7.84,Large,19,27.26
SmartFinanceSolutions,EdTech,494.96,15,3.16,11.98,18.82,Large,19,10.63
SmartAIInc,Quantum Computing,81.34,10,3.01,38.75,75.72,Small,7,47.49
InnoFinanceAnalytics,AgriTech,440.96,3,7.21,23.67,72.67,Small,17,99.96
InnoDataNetwork,Cybersecurity,330.93,13,2.99,14.55,42.54,Small,4,64.23
QuantumCloudTech,GreenTech,272.25,10,6.18,68.32,24.7,Small,16,74.36
FinFinanceSolutions,Healthcare,255.57,13,9.87,5.74,36.14,Small,13,73.12
AgriConnectSolutions,GreenTech,8.88,14,9.67,18.38,20.21,Large,1,11.65
SmartGrowthTech,FinTech,420.3,1,1.56,57.99,32.83,Small,7,90.16
NeuroLabHub,AgriTech,479.11,10,5.65,77.7,9.83,Small,19,48.65
GreenSphereAI,Cybersecurity,287.92,12,8.1,11.81,50.51,Small,16,2.04
NextLabAI,Cybersecurity,208.12,6,1.18,25.92,4.79,Small,20,50.22
TechHealthAI,AI,109.62,7,1.23,7.66,97.13,Large,4,40.11
InnoDataAnalytics,EdTech,400.66,1,4.46,6.77,55.5,Medium,2,41.6
InnoFinanceInnovations,AgriTech,325.17,1,4.51,24.95,16.37,Medium,17,88.8
GreenHealthSolutions,EdTech,250.7,11,9.13,14.85,39.94,Medium,17,13.48
AgriSphereNetwork,AgriTech,273.31,11,9.67,72.17,16.33,Small,12,12.31
TechCloudInnovations,GreenTech,489.15,14,7.04,4.49,37.49,Small,5,7.07
FinFinanceNetwork,AgriTech,17.27,15,5.4,26.44,20.97,Small,4,0.59
GreenFinanceHub,Cybersecurity,30.65,4,8.6,24.91,83.43,Small,7,56.33
HyperEdgeAnalytics,Healthcare,481.52,12,5.08,55.45,63.23,Small,17,54.72
SmartDataAI,Quantum Computing,395.6,8,5.07,60.84,98.48,Small,7,42.94
HyperHealthSolutions,Quantum Computing,444.56,7,8.73,43.97,30.89,Large,4,99.27
FinFinanceSystems,Quantum Computing,104.5,8,9.14,13.02,74.21,Small,3,41.12
AgriFinanceInnovations,Healthcare,226.31,13,8.9,16.4,60.56,Small,15,18.18
AgriHealthInnovations,Quantum Computing,258.74,8,6.25,76.58,51.3,Small,4,87.15
InnoLabVentures,Autonomous Vehicles,335.41,8,6.08,74.03,33.19,Medium,16,69.74
TechGrowthNetwork,Cybersecurity,451.14,5,1.88,70.87,25.29,Large,12,52.18
NeuroGrowthAnalytics,AgriTech,248.37,5,2.67,63.04,98.02,Small,20,92.21
AgriConnectInc,EdTech,484.74,11,4.77,37.46,72.04,Large,6,94.0
QuantumHealthTech,AgriTech,303.18,2,2.84,1.95,59.81,Large,1,17.41
InnoCloudVentures,AgriTech,21.38,12,8.99,3.76,71.49,Medium,18,22.82
QuantumSphereNetwork,Quantum Computing,427.41,13,9.56,47.15,58.74,Large,5,46.28
QuantumGrowthAnalytics,Autonomous Vehicles,232.52,10,8.34,19.08,72.08,Small,12,98.42
GreenCloudSolutions,AgriTech,184.51,7,1.1,33.48,25.77,Medium,16,90.55
QuantumAINetwork,GreenTech,397.02,9,5.53,2.22,21.83,Medium,15,52.22
QuantumLabAnalytics,GreenTech,308.17,13,4.33,58.04,68.92,Medium,10,12.13
NeuroAIVentures,Autonomous Vehicles,462.06,5,9.48,68.42,78.37,Medium,5,75.11
GreenAIInc,Cybersecurity,128.52,3,6.89,48.05,21.87,Small,20,99.84
GreenGrowthSystems,Autonomous Vehicles,106.92,14,7.99,54.99,56.81,Medium,1,27.03
SmartFinanceHub,Quantum Computing,47.39,10,6.42,21.42,92.56,Medium,8,4.58
GreenAIAI,Quantum Computing,433.58,2,1.69,33.2,49.22,Medium,5,89.56
GreenDataNetwork,GreenTech,321.48,13,2.63,65.76,70.04,Large,6,74.37
AgriLabInnovations,FinTech,187.89,14,7.32,73.5,2.65,Medium,7,17.77
AgriCloudTech,AgriTech,350.81,6,9.56,19.27,75.42,Medium,17,55.24
FinGrowthVentures,GreenTech,498.14,14,5.62,67.68,72.48,Medium,8,51.74
FinLabAI,Quantum Computing,373.57,14,2.32,31.69,31.67,Large,1,79.06
AgriDataAI,FinTech,201.24,8,4.21,11.97,79.71,Large,8,32.8
AgriConnectNetwork,GreenTech,192.98,12,9.78,16.71,9.04,Small,17,71.63
NextFinanceHub,GreenTech,286.91,7,8.95,12.2,64.11,Large,4,26.99
NextGrowthInc,EdTech,335.7,8,5.39,59.57,9.3,Small,16,92.25
InnoEdgeTech,EdTech,401.57,15,1.62,55.95,47.41,Medium,14,74.51
NextSphereAI,FinTech,492.14,14,8.0,19.4,58.21,Small,16,69.88
GreenSphereSystems,Quantum Computing,427.27,1,2.48,45.82,65.68,Medium,18,69.79
TechConnectVentures,Autonomous Vehicles,395.01,6,9.81,32.32,64.81,Small,16,29.2
GreenFinanceTech,Cybersecurity,22.72,5,3.99,14.85,66.49,Small,14,22.38
TechCloudTech,Autonomous Vehicles,385.49,2,8.77,76.57,3.18,Small,5,20.02
QuantumLabSolutions,Cybersecurity,244.18,1,3.77,56.76,44.53,Large,20,57.69
AgriDataHub,GreenTech,93.54,13,1.97,26.57,94.7,Medium,6,68.86
InnoConnectVentures,Quantum Computing,340.65,7,2.37,64.74,52.14,Large,20,9.55
AgriFinanceInc,Cybersecurity,253.47,10,7.69,56.77,41.23,Medium,15,85.12
FinLabNetwork,Cybersecurity,425.1,7,3.84,73.33,74.23,Small,20,50.96
AgriConnectAnalytics,AgriTech,355.65,12,2.52,25.5,76.93,Small,8,49.39
SmartConnectInc,Quantum Computing,426.31,14,9.87,15.02,82.52,Large,3,90.9
FinSphereTech,Healthcare,397.33,13,6.7,17.54,35.55,Large,10,91.59
NextAIInc,GreenTech,268.23,13,2.61,14.98,49.78,Medium,10,62.39
HyperHealthInc,Autonomous Vehicles,376.23,2,9.84,60.31,33.75,Medium,9,70.62
InnoConnectNetwork,GreenTech,399.12,11,6.45,26.81,55.13,Small,18,1.88
AgriConnectSystems,FinTech,443.86,15,4.81,32.06,97.61,Large,2,92.92
NeuroLabSystems,AgriTech,71.09,13,9.26,58.27,11.3,Large,17,74.36
SmartAINetwork,Healthcare,308.52,10,6.52,27.49,40.57,Medium,13,16.91
NextLabHub,FinTech,338.76,8,6.74,32.61,82.75,Small,17,58.26
AgriEdgeAI,EdTech,331.78,11,6.4,62.88,67.9,Small,18,55.08
GreenSphereInnovations,EdTech,134.94,4,4.82,18.98,75.8,Small,17,49.14
NextSphereTech,Cybersecurity,251.37,14,2.61,78.57,67.18,Small,8,16.07
InnoDataAI,Quantum Computing,184.39,15,7.55,59.97,75.62,Large,8,95.35
NeuroEdgeAI,Healthcare,52.94,12,1.09,4.72,59.92,Medium,5,15.28
InnoConnectAnalytics,EdTech,411.29,12,7.48,37.2,84.17,Medium,19,45.72
QuantumEdgeSolutions,Autonomous Vehicles,295.53,6,2.87,58.27,85.82,Small,15,23.75
TechGrowthInnovations,Autonomous Vehicles,492.69,14,9.26,12.67,91.17,Small,15,22.92
NeuroSphereAI,Quantum Computing,224.34,6,4.27,45.51,33.31,Medium,1,86.52
FinFinanceAnalytics,Healthcare,449.88,14,1.86,0.92,84.51,Large,10,12.95
TechAIInc,Healthcare,33.49,9,7.41,11.17,31.24,Medium,3,4.45
GreenHealthAnalytics,Quantum Computing,393.46,7,9.18,75.8,56.75,Large,1,45.12
NeuroHealthInc,Healthcare,324.21,10,9.56,51.0,95.65,Small,12,30.92
InnoHealthSolutions,Autonomous Vehicles,21.57,12,4.47,63.93,36.77,Large,4,60.17
TechSphereSystems,AI,96.35,10,2.4,12.03,88.59,Large,18,5.94
TechDataHub,AgriTech,135.75,7,1.29,32.54,44.73,Large,18,80.89
AgriSphereVentures,GreenTech,90.71,13,6.1,75.43,83.84,Medium,7,72.9
HyperFinanceHub,Quantum Computing,4.16,7,2.59,20.86,70.91,Large,10,26.59
TechCloudVentures,Healthcare,111.12,2,4.02,76.95,81.32,Medium,1,11.25
NeuroAIVentures,FinTech,210.15,13,2.25,32.9,17.42,Medium,9,31.43
InnoAIAnalytics,GreenTech,214.96,3,9.72,29.87,99.31,Small,2,81.45
HyperEdgeAI,Cybersecurity,82.94,12,1.58,31.86,43.85,Medium,17,47.11
TechConnectTech,GreenTech,308.42,11,7.88,9.12,28.32,Medium,14,86.41
HyperLabNetwork,Quantum Computing,161.98,10,9.86,68.34,69.69,Medium,4,33.07
InnoGrowthHub,Autonomous Vehicles,243.84,1,6.56,2.84,30.65,Large,20,55.23
NextConnectSystems,EdTech,241.53,12,4.42,34.86,44.1,Large,7,4.85
FinHealthInnovations,AgriTech,37.71,3,2.87,67.61,90.12,Medium,6,22.28
GreenLabNetwork,AgriTech,381.72,11,5.81,51.72,48.39,Large,12,88.63
NeuroSphereAI,Autonomous Vehicles,227.23,13,7.23,72.18,64.46,Large,15,50.03
InnoConnectTech,AgriTech,133.58,3,6.93,76.23,84.18,Medium,11,30.69
HyperSphereSystems,AgriTech,94.34,9,2.6,47.12,39.07,Small,13,93.65
HyperAITech,Healthcare,377.28,4,5.79,18.93,71.46,Small,15,70.67
AgriConnectInnovations,Quantum Computing,364.96,14,3.67,55.14,42.98,Medium,18,94.64
GreenConnectSolutions,Healthcare,64.85,10,6.22,59.88,88.17,Medium,9,85.44
HyperLabAI,Healthcare,436.4,4,1.76,74.18,26.86,Small,19,77.92
HyperAISolutions,FinTech,21.17,6,9.3,41.51,55.46,Small,9,91.27
FinCloudInnovations,Autonomous Vehicles,118.72,9,7.96,34.71,30.45,Small,13,82.37
HyperHealthTech,FinTech,2.25,4,4.1,17.56,36.65,Small,13,36.91
HyperSphereAI,EdTech,32.12,4,9.22,77.62,73.37,Small,12,10.49
InnoCloudAI,GreenTech,423.6,15,6.06,59.66,60.82,Small,11,3.03
InnoLabSolutions,Autonomous Vehicles,28.55,1,2.54,38.01,84.77,Small,3,70.07
SmartEdgeAI,EdTech,298.78,10,9.31,39.09,78.26,Small,1,28.96
InnoGrowthSystems,EdTech,173.01,3,2.35,58.02,13.35,Medium,17,49.18
TechGrowthSystems,AgriTech,348.82,1,3.82,41.31,11.65,Large,17,48.39
SmartHealthAnalytics,Quantum Computing,355.23,12,3.84,26.66,50.88,Small,19,39.35
TechCloudInnovations,Autonomous Vehicles,195.86,6,6.36,16.39,16.04,Medium,12,25.18
NextSphereAnalytics,Autonomous Vehicles,155.17,10,7.76,23.08,10.87,Small,19,82.3
HyperEdgeInnovations,Healthcare,204.41,5,1.49,11.12,0.56,Large,5,41.42
HyperHealthSystems,AI,459.67,1,4.89,52.37,90.56,Small,14,60.87
NeuroGrowthAnalytics,AgriTech,258.65,4,2.49,12.91,93.0,Medium,3,40.26
InnoGrowthAnalytics,AgriTech,171.87,14,5.84,50.17,54.14,Small,3,4.72
SmartHealthHub,EdTech,141.59,8,4.99,25.82,45.23,Large,19,76.45
GreenConnectInnovations,FinTech,188.79,14,1.91,18.9,27.94,Small,17,32.13
NextCloudAnalytics,GreenTech,112.79,7,8.77,63.95,84.79,Small,20,89.84
FinConnectAnalytics,Quantum Computing,274.78,10,8.44,57.95,46.33,Large,2,86.91
AgriLabNetwork,AI,279.97,5,9.83,26.16,16.38,Medium,17,18.27
FinEdgeInnovations,FinTech,142.38,3,1.12,70.63,99.53,Large,15,49.22
NeuroGrowthSystems,AI,141.72,1,4.6,76.54,83.97,Small,15,56.21
TechHealthVentures,Quantum Computing,472.39,5,6.29,57.09,55.99,Small,18,25.72
GreenFinanceInc,AgriTech,50.0,2,4.31,39.99,12.52,Small,14,22.15
HyperHealthVentures,Quantum Computing,380.61,4,5.58,78.83,72.71,Large,14,21.54
FinFinanceInnovations,GreenTech,202.37,4,7.1,64.04,93.01,Large,17,33.23
SmartConnectTech,FinTech,339.58,14,7.07,9.07,26.0,Medium,4,79.08
NextAISystems,FinTech,132.42,4,3.66,61.77,3.1,Large,13,3.59
QuantumSphereInnovations,Quantum Computing,405.09,10,3.59,33.63,90.21,Medium,4,98.91
SmartGrowthInnovations,Quantum Computing,98.6,9,6.49,22.07,36.79,Large,1,5.3
QuantumHealthInc,EdTech,432.21,6,1.22,19.69,32.65,Large,16,75.29
TechLabAnalytics,Cybersecurity,462.51,2,6.49,50.39,11.5,Medium,8,5.37
AgriFinanceSystems,AgriTech,377.51,14,5.62,79.8,15.29,Medium,15,22.94
GreenGrowthTech,Cybersecurity,140.39,13,2.97,49.36,81.37,Medium,17,15.14
FinConnectAnalytics,Healthcare,400.31,12,7.9,9.11,61.01,Medium,10,60.4
InnoEdgeNetwork,GreenTech,195.77,8,7.84,42.76,0.3,Medium,9,83.17
HyperAIVentures,GreenTech,355.0,6,4.74,44.22,38.64,Medium,1,96.88
NeuroDataAI,Cybersecurity,27.78,3,4.12,11.27,73.39,Medium,2,43.8
HyperGrowthHub,Quantum Computing,382.7,4,1.02,55.88,64.89,Small,9,63.9
HyperAITech,EdTech,420.33,11,1.77,26.93,26.78,Small,10,20.98
SmartSphereTech,EdTech,288.07,3,7.09,56.9,86.16,Small,10,13.46
FinLabTech,AgriTech,113.1,7,9.34,52.24,1.04,Small,15,34.17
QuantumFinanceSolutions,Healthcare,394.37,3,4.74,56.44,6.18,Small,1,82.7
AgriSphereSystems,FinTech,492.46,1,1.97,4.75,14.58,Small,6,66.57
FinSphereAnalytics,Cybersecurity,469.35,7,3.46,8.74,58.43,Medium,19,26.75
NeuroCloudAI,Autonomous Vehicles,486.92,5,6.94,58.59,91.84,Large,19,89.09
HyperEdgeAnalytics,FinTech,33.72,10,2.76,69.1,92.29,Small,1,76.69
TechEdgeInnovations,EdTech,219.9,13,8.71,63.98,15.48,Medium,19,47.15
NeuroEdgeTech,Cybersecurity,136.89,8,2.94,33.64,48.38,Small,3,87.6
HyperFinanceSystems,AI,70.49,1,2.86,75.44,40.19,Large,14,69.22
GreenLabAI,Autonomous Vehicles,189.59,3,9.75,43.13,96.33,Medium,20,74.52
QuantumCloudSolutions,AgriTech,111.8,11,9.39,2.91,28.73,Small,11,84.22
NeuroAISolutions,Healthcare,183.92,7,6.51,55.13,95.98,Large,18,12.39
HyperEdgeInc,FinTech,25.99,1,1.43,53.43,94.67,Large,19,49.47
HyperAIInnovations,AI,478.36,3,9.79,24.43,70.5,Medium,6,71.52
NeuroSphereSystems,AI,357.55,10,7.68,3.84,45.48,Large,9,24.18
InnoSphereAnalytics,GreenTech,243.73,4,9.27,69.68,19.34,Small,16,96.91
NextConnectAnalytics,Quantum Computing,369.6,7,9.97,9.85,64.44,Small,3,95.09
TechGrowthAI,EdTech,443.95,13,7.28,50.37,57.56,Small,4,27.0
TechConnectAnalytics,Healthcare,484.07,13,8.12,68.05,6.2,Small,19,23.77
HyperAISolutions,AgriTech,321.98,11,3.86,67.01,96.09,Large,6,5.46
GreenAINetwork,Cybersecurity,480.07,11,1.4,54.58,95.62,Large,4,14.61
GreenDataInc,Cybersecurity,106.56,13,1.34,30.99,8.44,Large,10,16.24
HyperCloudSystems,Autonomous Vehicles,33.12,15,6.61,3.16,84.47,Medium,2,59.83
FinDataSystems,Healthcare,362.3,1,8.35,25.5,37.75,Large,15,32.03
HyperFinanceHub,AgriTech,22.96,5,3.91,10.1,9.34,Medium,15,32.77
InnoConnectSolutions,Cybersecurity,131.49,2,5.68,10.36,3.17,Medium,6,62.68
SmartDataTech,AI,459.11,13,1.51,38.41,14.94,Medium,4,42.74
GreenEdgeSolutions,Autonomous Vehicles,59.75,1,1.52,67.28,34.13,Large,16,0.18
QuantumCloudNetwork,Autonomous Vehicles,395.61,3,2.38,74.34,83.48,Small,3,18.39
QuantumConnectVentures,AI,304.39,4,4.73,72.24,13.31,Large,8,6.23
SmartGrowthAnalytics,FinTech,228.06,2,3.74,48.06,51.72,Medium,7,1.73
FinAITech,Healthcare,55.06,3,4.56,17.91,60.85,Medium,18,87.75
